#"favoritfik (favoritfiket, –, favoritfiken)<br><i>Mitt favoritfik har det godaste kaffet.</i>","favourite café / coffee shop<br><i>My favourite café has the best coffee.</i>"
"dammsugare (dammsugaren, –, dammsugarna)<br><i>En dammsugare är ett bakverk med marsipan.</i>","vacuum cleaner (a type of marzipan treat)<br><i>A dammsugare is a pastry with marzipan.</i>"
"veganbrownie (veganbrownien)<br><i>En veganbrownie är gjord utan animaliska produkter.</i>","vegan brownie<br><i>A vegan brownie is made without animal products.</i>"
"brownie (brownien)<br><i>Jag föredrar en vanlig brownie.</i>","brownie<br><i>I prefer a regular brownie.</i>"
"räksallad (räksalladen, räksallader, räksalladerna)<br><i>Jag tog en räksallad till lunch.</i>","shrimp salad<br><i>I had a shrimp salad for lunch.</i>"
"falafelsallad (falafelsalladen, falafelsallader, falafelsalladerna)<br><i>Jag beställde en falafelsallad istället.</i>","falafel salad<br><i>I ordered a falafel salad instead.</i>"
"ostpaj (ostpajen, ostpajar, ostpajarna)<br><i>En ostpaj passar bra som lunch.</i>","cheese quiche<br><i>A cheese quiche is good for lunch.</i>"
"pizzabit (pizzabiten, pizzabitar, pizzabitarna)<br><i>Jag tog en pizzabit på rasten.</i>","pizza slice<br><i>I grabbed a pizza slice on my break.</i>"
"bryggkaffe (-t)<br><i>De serverar bryggkaffe fram till stängning.</i>","brewed coffee<br><i>They serve brewed coffee until closing.</i>"
"glas (glaset, –, glasen)<br><i>Jag vill ha ett glas vatten, tack.</i>","glass<br><i>I want a glass of water, please.</i>"
"läsk (läsken)<br><i>Jag föredrar läsk till min pizza.</i>","soft drink, fizzy drink<br><i>I prefer a soft drink with my pizza.</i>"
"päron (päronet, –, päronen)<br><i>Jag köpte ett päron i affären.</i>","pear<br><i>I bought a pear at the store.</i>"
"paket (paketet, –, paketen)<br><i>Jag köpte ett paket kaffe.</i>","package<br><i>I bought a package of coffee.</i>"
"sammansatta ord (phr)","compound words"
"flera<br><i>Jag har flera olika idéer.</i>","several<br><i>I have several different ideas.</i>"
"(adj) första<br><i>Den första kundvagnen är trasig.</i>","(adj) first<br><i>The first shopping cart is broken.</i>"
"snusdosa (snusdosan, snusdosor, snusdosorna)<br><i>Min farfar brukade ha en snusdosa.</i>","snuff box<br><i>My (paternal) grandfather used to have a snuff box.</i>"
"bokstav (bokstaven, bokstäver, bokstäverna)<br><i>Vilken bokstav börjar ditt namn på?</i>","letter<br><i>Which letter does your name start with?</i>"
"gurka (gurkan, gurkor, gurkorna)<br><i>Kan du skiva gurkan till salladen?</i>","cucumber<br><i>Can you slice the cucumber for the salad?</i>"
"druva/vindruva (druvan, druvor, druvorna)<br><i>Jag köpte gröna vindruvor idag.</i>","grape<br><i>I bought green grapes today.</i>"
"purjolök (purjolöken, purjolökar, purjolökarna)<br><i>Jag använde purjolök i soppan.</i>","leek<br><i>I used leek in the soup.</i>"
"citron (citronen, citroner, citronerna)<br><i>En skiva citron i vattnet blir gott.</i>","lemon<br><i>A slice of lemon in the water will be tasty.</i>"
"ägg (ägget, –, äggen)<br><i>Jag åt ett kokt ägg till frukost.</i>","egg<br><i>I ate a boiled egg for breakfast.</i>"
"sko (skon, skor, skorna)<br><i>Jag köpte nya skor igår.</i>","shoe<br><i>I bought new shoes yesterday.</i>"
"bakelse (bakelsen, bakelser, bakelserna)<br><i>Jag tog en söt bakelse till kaffet.</i>","pastry<br><i>I had a sweet pastry with my coffee.</i>"
"saffransbulle (saffransbullen, saffransbullar, saffransbullarna)<br><i>En saffransbulle är vanlig till luciafirandet.</i>","saffron bun<br><i>A saffron bun is common during Lucia celebrations.</i>"
"mango (mangon, mangor, mangorna)<br><i>Jag skar upp en färsk mango till frukost.</i>","mango<br><i>I sliced a fresh mango for breakfast.</i>"
"mataffär (mataffären, mataffärer, mataffärerna)<br><i>Jag handlar varje vecka i samma mataffär.</i>","grocery store<br><i>I shop at the same grocery store every week.</i>"
"hylla (hyllan, hyllor, hyllorna)<br><i>Chipsen finns på översta hyllan.</i>","shelf<br><i>The chips are on the top shelf.</i>"
"till vänster (phr)<br><i>Mejeriprodukterna finns till vänster när du kommer in.</i>","to the left<br><i>The dairy products are to the left when you walk in.</i>"
"till höger (phr)<br><i>Köttet finns till höger bakom fruktavdelningen.</i>","to the right<br><i>The meat is to the right behind the fruit section.</i>"
"rakt fram<br><i>Kassan ligger rakt fram.</i>","straight ahead<br><i>The checkout is straight ahead.</i>"
"andra (num)<br><i>Varor för bakning finns på andra hyllan.</i>","second<br><i>Baking goods are on the second shelf.</i>"
"tredje (num)<br><i>Charken ligger på tredje gången till höger.</i>","third<br><i>The deli section is on the third aisle to the right.</i>"
"fjärde (num)<br><i>Fisk och skaldjur hittar du på fjärde gången.</i>","fourth<br><i>You’ll find fish and shellfish on the fourth aisle.</i>"
"femte (num)<br><i>Godiset finns på femte gången till vänster.</i>","fifth<br><i>Candy is on the fifth aisle on the left.</i>"
"frukt (frukten, frukter, frukterna)<br><i>Äpplen är min favoritfrukt.</i>","fruit<br><i>Apples are my favorite fruit.</i>"
"grön (grönt, gröna)<br><i>Jag köpte en grön paprika.</i>","green<br><i>I bought a green bell pepper.</i>"
"mejeri (mejeriet, mejerier, mejerierna)<br><i>Mejeriprodukter som mjölk och ost finns här.</i>","dairy<br><i>Dairy products like milk and cheese are here.</i>"
"fisk (fisken, fiskar, fiskarna)<br><i>Jag älskar färsk fisk till middag.</i>","fish<br><i>I love fresh fish for dinner.</i>"
"skaldjur (skaldjuret, –, skaldjuren)<br><i>Skaldjur som räkor finns i kyldisken.</i>","shellfish<br><i>Shellfish like shrimp can be found in the refrigerated section.</i>"
"konserv (konserven, konserver, konserverna)<br><i>Krossade tomater står bland konserverna.</i>","canned food, preserve<br><i>Crushed tomatoes are among the canned goods.</i>"
"värld (världen, världar, världarna)<br><i>Det är världens snabbaste bil.</i>","world<br><i>It is the world’s fastest car.</i>"
"världens mat (phr)<br><i>De har världens mat i nästa avdelning.</i>","international food<br><i>They have international foods in the next section.</i>"
"baka (bakar, bakade, bakat)<br><i>Jag älskar att baka bullar på helgen.</i>","bake<br><i>I love to bake buns on the weekend.</i>"
"bakprodukt (bakprodukten, bakprodukter, bakprodukterna)<br><i>Socker och mjöl är viktiga bakprodukter.</i>","baking ingredient<br><i>Sugar and flour are important baking ingredients.</i>"
"kött (köttet, –, kötten)<br><i>Jag letar efter ekologiskt kött.</i>","meat<br><i>I’m looking for organic meat.</i>"
"fågel (fågeln, fåglar, fåglarna)<br><i>Kyckling finns i fågelavdelningen.</i>","poultry section<br><i>Chicken can be found in the poultry section.</i>"
"chark (charken)<br><i>Charkavdelningen har skinka och salami.</i>","cured meat, deli section<br><i>The deli section has ham and salami.</i>"
"bröd (brödet, –, bröden)<br><i>Jag köpte nybakat bröd till frukost.</i>","bread<br><i>I bought freshly baked bread for breakfast.</i>"
"godis (godiset)<br><i>Jag undviker godis i veckorna.</i>","candy<br><i>I avoid candy on weekdays.</i>"
"snack (snacket, snacks, snacksen)<br><i>Snacksen finns längst bort i butiken.</i>","snack<br><i>The snacks are at the far end of the store.</i>"
"hygien (hygienen)<br><i>Hygienprodukter som tvål och schampo finns på den översta hyllan.</i>","hygiene<br><i>Hygiene products like soap and shampoo are on the top shelf.</i>"
"Ursäkta, var finns ...?<br><i>Ursäkta, var finns tacobröd?</i>","Excuse me, where is ... ?<br><i>Excuse me, where are the tortillas?</i>"
"tacobröd (tacobrödet, –, tacobröden)<br><i>Tortillas finns vid världens mat.</i>","tortilla<br><i>Tortillas are by the international foods.</i>"
"socker (sockret)<br><i>Socker hittar du bland bakprodukterna.</i>","sugar<br><i>You’ll find sugar among the baking ingredients.</i>"
"Har ni ... ?<br><i>Har ni glutenfritt bröd?</i>","Do you have ...?<br><i>Do you have gluten-free bread?</i>"
"glutenfri (glutenfritt, glutenfria)<br><i>Det finns glutenfria produkter i den avdelningen.</i>","gluten-free<br><i>There are gluten-free products in that section.</i>"
"gräddfil (gräddfilen)<br><i>Gräddfil hittar du i mejeriavdelningen.</i>","sour cream<br><i>You’ll find sour cream in the dairy section.</i>"
"fil (filen)<br><i>Jag köpte fil till frukost.</i>","soured milk / file<br><i>I bought soured milk for breakfast.</i>"
"fil (filen)<br><i>Ladda ned filen här.</i>","soured milk / file<br><i>Download the file here.</i>"
"Tack snälla!<br><i>Tack snälla för hjälpen.</i>","Thank you so much!<br><i>Thank you so much for the help.</i>"
"havremjölk (havremjölken)<br><i>Havremjölk finns också i mejeriavdelningen.</i>","oat milk<br><i>Oat milk is also in the dairy section.</i>"
"slut<br><i>Havremjölken är tyvärr slut.</i>","finished / run out<br><i>Unfortunately, the oat milk is finished.</i>"
"Vad synd!<br><i>Är den slut? Vad synd!</i>","Too bad!<br><i>Is it finished? Too bad!</i>"
"salami (salamin)<br><i>Jag köpte lite salami i charken.</i>","salami<br><i>I bought some salami at the deli.</i>"
"toapapper (toapappret, –, toapappren)<br><i>Jag måste köpa toapapper innan jag går hem.</i>","toilet paper<br><i>I need to buy toilet paper before I go home.</i>"
"filmjölk (filmjölken)<br><i>Filmjölk är en vanlig frukostprodukt i Sverige.</i>","soured milk<br><i>Filmjölk is a common breakfast product in Sweden.</i>"
"köttfärs (köttfärsen, köttfärser, köttfärserna)<br><i>Jag använder köttfärs till mina köttbullar.</i>","minced meat<br><i>I use minced meat for my meatballs.</i>"
"ostbåge (ostbågen, ostbågar, ostbågarna)<br><i>Ostbågar är min favorit bland snacksen.</i>","cheese puff<br><i>Cheese puffs are my favorite among the snacks.</i>"
"fryst (fryst, frysta)<br><i>Frysta räkor finns i frysen.</i>","frozen<br><i>Frozen shrimp are in the freezer.</i>"
"räka (räkan, räkor, räkorna)<br><i>Jag letar efter räkor till soppan.</i>","shrimp<br><i>I’m looking for shrimp for the soup.</i>"
"mjöl (mjölet)<br><i>Mjöl är en viktig bakprodukt.</i>","flour<br><i>Flour is an important baking ingredient.</i>"
"kycklingfilé (kycklingfilén, kycklingfiléer, kycklingfiléerna)<br><i>Jag köpte kycklingfilé till middagen.</i>","chicken fillet<br><i>I bought chicken fillet for dinner.</i>"
"saltlakrits (saltlakritset)<br><i>Jag tycker om saltlakrits mest av allt godis.</i>","salty licorice<br><i>I like salty licorice the most of all candy.</i>"
"duschkräm (duschkrämen)<br><i>Jag hittade en ny duschkräm på hygienavdelningen.</i>","body wash<br><i>I found a new body wash in the hygiene section.</i>"
"smör (smöret)<br><i>Jag behöver mer smör till bakningen.</i>","butter<br><i>I need more butter for baking.</i>"
"lättöl (lättölet)<br><i>Jag köpte lättöl till grillfesten.</i>","light beer<br><i>I bought light beer for the barbecue.</i>"
"öl (ölet)<br><i>Vi har olika sorters öl i kylen.</i>","beer<br><i>We have different kinds of beer in the fridge.</i>"
"krossa (krossar, krossade, krossat)<br><i>Krossade tomater används i många såser.</i>","crush<br><i>Crushed tomatoes are used in many sauces.</i>"
"krossade tomater (phr)<br><i>Jag använder ofta krossade tomater i min pastasås.</i>","crushed tomatoes<br><i>I often use crushed tomatoes in my pasta sauce.</i>"
"knäckebröd (knäckebrödet, –, knäckebröden)<br><i>Knäckebröd är vanligt i Sverige.</i>","crispbread<br><i>Crispbread is common in Sweden.</i>"
"illustration (illustrationen, illustrationer, illustrationerna)<br><i>Jag tycker om bokens fina illustrationer.</i>","illustration<br><i>I like the book’s beautiful illustrations.</i>"
"affär (affären, affärer, affärerna)<br><i>Jag handlar mat i en liten affär nära mitt hem.</i>","shop<br><i>I buy groceries at a small shop near my home.</i>"
"varor (varorna)<br><i>Här finns många varor att välja mellan.</i>","goods<br><i>There are many goods to choose from here.</i>"
"förpackning (förpackningen, förpackningar, förpackningarna)<br><i>Förpackningen är miljövänlig.</i>","packaging<br><i>The packaging is environmentally friendly.</i>"
"mineralvatten (mineralvattnet)<br><i>Jag föredrar mineralvatten istället för läsk.</i>","mineral water<br><i>I prefer mineral water instead of soda.</i>"
"alternativ (alternativet, –, alternativen)<br><i>Vilket alternativ tycker du är bäst?</i>","option<br><i>Which option do you think is best?</i>"
"burk (burken, burkar, burkarna)<br><i>Jag köpte en burk krossade tomater.</i>","can<br><i>I bought a can of crushed tomatoes.</i>"
"ask (asken, askar, askarna)<br><i>Jag fick en liten ask choklad av min vän.</i>","box<br><i>I got a small box of chocolates from my friend.</i>"
"påse (påsen, påsar, påsarna)<br><i>Kan du ge mig en påse till frukterna?</i>","bag<br><i>Can you give me a bag for the fruit?</i>"
"tub (tuben, tuber, tuberna)<br><i>Jag köpte en tub tandkräm.</i>","tube<br><i>I bought a tube of toothpaste.</i>"
"cigarett (cigaretten, cigaretter, cigaretterna)<br><i>Jag röker inte cigaretter.</i>","cigarette<br><i>I do not smoke cigarettes.</i>"
"kaviar (kaviaren)<br><i>Många svenskar äter kaviar på ägget.</i>","cod roe spread<br><i>Many Swedes eat cod roe spread on eggs.</i>"
"ketchup (ketchupen)<br><i>Jag har lite ketchup på min hamburgare.</i>","ketchup<br><i>I put some ketchup on my hamburger.</i>"
"lingonsylt (lingonsylten)<br><i>Lingonsylt är gott till köttbullar.</i>","lingonberry jam<br><i>Lingonberry jam is good with meatballs.</i>"
"marmelad (marmeladen)<br><i>Jag tog marmelad på min rostmacka.</i>","marmalade<br><i>I put marmalade on my toast.</i>"
"mjukost (mjukosten, mjukostar, mjukostarna)<br><i>Mjukost i tub är populärt i Sverige.</i>","cheese spread<br><i>Tube cheese spread is popular in Sweden.</i>"
"mjölk (mjölken)<br><i>Jag köpte mjölk till kaffet.</i>","milk<br><i>I bought milk for my coffee.</i>"
"oliv (oliven, oliver, oliverna)<br><i>Jag älskar oliver på pizzan.</i>","olive<br><i>I love olives on pizza.</i>"
"olja (oljan)<br><i>Jag steker ofta med olja.</i>","oil<br><i>I often fry with oil.</i>"
"schampo (schampot, schampon, schampona)<br><i>Jag köpte nytt schampo igår.</i>","shampoo<br><i>I bought new shampoo yesterday.</i>"
"sill (sillen, sillar, sillarna)<br><i>Inlagd sill är vanlig på svenska högtider.</i>","herring<br><i>Pickled herring is common at Swedish celebrations.</i>"
"tandkräm (tandkrämen, tandkrämer, tandkrämerna)<br><i>Jag glömde köpa tandkräm på affären.</i>","toothpaste<br><i>I forgot to buy toothpaste at the store.</i>"
"tomatpuré (tomatpurén, tomatpuréer, tomatpuréerna)<br><i>Jag använder tomatpuré i min pastasås.</i>","tomato paste<br><i>I use tomato paste in my pasta sauce.</i>"
"tändsticka (tändstickan, tändstickor, tändstickorna)<br><i>Var försiktig med tändstickor!</i>","match<br><i>Be careful with matches!</i>"
"ärta (ärtan, ärtor, ärtorna)<br><i>Jag la till ärtor i min gryta.</i>","pea<br><i>I added peas to my stew.</i>"
"Vad ska vi äta?<br><i>Vad ska vi äta i kväll?</i>","What are we going to eat?<br><i>What are we going to eat this evening?</i>"
"planera (planerar, planerade, planerat)<br><i>Jag vill planera vad vi ska äta i veckan.</i>","plan<br><i>I want to plan what we’ll eat this week.</i>"
"inköpslista (inköpslistan, inköpslistor, inköpslistorna)<br><i>Vi gör en inköpslista innan vi går till affären.</i>","grocery list<br><i>We make a grocery list before going to the store.</i>"
"idé (idén, idéer, idéerna)<br><i>Har du någon idé på vad vi kan laga?</i>","idea<br><i>Do you have any idea what we can cook?</i>"
"behöva (behöver, behövde, behövt)<br><i>Jag behöver köpa mjölk och bröd.</i>","need<br><i>I need to buy milk and bread.</i>"
"jäst (jästen)<br><i>Vi behöver jäst för att baka bröd.</i>","yeast<br><i>We need yeast to bake bread.</i>"
"stängd (stängt, stängda)<br><i>Butiken är stängd på söndagar.</i>","closed<br><i>The store is closed on Sundays.</i>"
"halvstängd (halvstängt, halvstängda)<br><i>Affären är halvstängd under ombyggnaden.</i>","half-closed<br><i>The store is half-closed during renovations.</i>"
"favoritkafé (favoritkaféet, favoritkaféer, favoritkaféerna)<br><i>Mitt favoritkafé har stans godaste cappuccino.</i>","favourite café<br><i>My favourite café has the best cappuccino in town.</i>"
"favoritrestaurang (favoritrestaurangen, favoritrestauranger, favoritrestaurangerna)<br><i>Vi firar alltid födelsedagar på vår favoritrestaurang.</i>","favourite restaurant<br><i>We always celebrate birthdays at our favourite restaurant.</i>"
"favoritpub (favoritpuben, favoritpubar, favoritpubarna)<br><i>Min favoritpub har många sorters öl.</i>","favourite pub<br><i>My favourite pub has many kinds of beer.</i>"
"älg (älgen, älgar, älgarna)<br><i>Vi såg en älg i skogen igår.</i>","moose<br><i>We saw a moose in the woods yesterday.</i>"
"kollega (kollegan, kollegor, kollegorna)<br><i>Min kollega hjälper mig med projektet.</i>","colleague<br><i>My colleague is helping me with the project.</i>"
"tycka om (tycker, tyckte, tyckt)<br><i>Jag tycker om italiensk mat.</i>","like / enjoy<br><i>I like Italian food.</i>"
"älgburgare (älgburgaren, –, älgburgarna)<br><i>Jag beställde en älgburgare på restaurangen.</i>","moose burger<br><i>I ordered a moose burger at the restaurant.</i>"
"schnitzel (schnitzeln, schnitzlar, schnitzlarna)<br><i>Han lagade schnitzel till middag.</i>","schnitzel<br><i>He made schnitzel for dinner.</i>"
"potatissallad (potatissalladen, potatissallader, potatissalladerna)<br><i>Jag åt kall potatissallad med grillat kött.</i>","potato salad<br><i>I ate cold potato salad with grilled meat.</i>"
"nachos<br><i>Vi delade på en tallrik nachos som förrätt.</i>","nachos<br><i>We shared a plate of nachos as an appetizer.</i>"
"guacamole (guacamolen)<br><i>Jag gjorde egen guacamole av färska avokador.</i>","guacamole<br><i>I made my own guacamole from fresh avocados.</i>"
"Det är bra skit!<br><i>Det är bra skit!</i>","It is good shit!<br><i>It is good shit!</i>"
"vissa av dem<br><i>Jag gillar vissa av dem men inte alla.</i>","some of them<br><i>I like some of them but not all.</i>"
"forska (forskar, forskade, forskat)<br><i>Hon forskar om klimatförändringar.</i>","do research<br><i>She is doing research on climate change.</i>"
"tallrik (tallriken, tallrikar, tallrikarna)<br><i>Jag tappade en tallrik i golvet.</i>","plate<br><i>I dropped a plate on the floor.</i>"
"liten pojke<br><i>En liten pojke lekte i parken.</i>","little boy<br><i>A little boy was playing in the park.</i>"
"kedja (kedjan, kedjor, kedjorna)<br><i>Cykelns kedja är rostig.</i>","chain<br><i>The bike’s chain is rusty.</i>"
"Jag vill ha en annan pizza.<br><i>Jag vill ha en annan pizza.</i>","I want a different pizza.<br><i>I want a different pizza.</i>"
"visa (visar, visade, visat)<br><i>Kan du visa mig vägen?</i>","show<br><i>Can you show me the way?</i>"
"Vad synd!<br><i>Vad synd! Det regnar.</i>","What a shame!<br><i>What a shame! It’s raining.</i>"
"Det är sorgligt.<br><i>Det är sorgligt när djur far illa.</i>","It is sad.<br><i>It is sad when animals suffer.</i>"
"om inte<br><i>Om inte bussen kommer går vi.</i>","if not<br><i>If the bus doesn’t come, we’ll leave.</i>"
"fågel (fågeln, fåglar, fåglarna)<br><i>En färgglad fågel satt i trädet.</i>","bird<br><i>A colourful bird sat in the tree.</i>"
"huvudrätt (huvudrätten, huvudrätter, huvudrätterna)<br><i>Lax är kvällens huvudrätt.</i>","main course<br><i>Salmon is tonight’s main course.</i>"
"dessert (desserten, desserter, desserterna)<br><i>Vi åt glass till dessert.</i>","dessert<br><i>We had ice-cream for dessert.</i>"
"gissa (gissar, gissade, gissat)<br><i>Kan du gissa svaret?</i>","guess<br><i>Can you guess the answer?</i>"
"körsbärstomater<br><i>Jag köpte körsbärstomater till salladen.</i>","cherry tomatoes<br><i>I bought cherry tomatoes for the salad.</i>"
"hem<br><i>Jag går hem nu.</i>","home (to)<br><i>I’m going home now.</i>"
"hemma<br><i>Hon är hemma i kväll.</i>","at home<br><i>She is at home tonight.</i>"
"form (formen, former, formerna)<br><i>Kakan hade en rund form.</i>","shape<br><i>The cake had a round shape.</i>"
"rund (runt, runda)<br><i>Bordet är helt rund.</i>","round<br><i>The table is completely round.</i>"
"röd dag<br><i>Nationaldagen är en röd dag.</i>","public holiday<br><i>Sweden’s National Day is a public holiday.</i>"
"tivoli (tivolit, tivolin, tivolina)<br><i>Barnen älskar att åka karusell på tivoli.</i>","funfair<br><i>The kids love riding the carousel at the funfair.</i>"
"fortfarande<br><i>Det är fortfarande kallt i april.</i>","still (ongoing) (adv)<br><i>It is still cold in April.</i>"
"ändå","still / anyway (adv)"
"kvar","left / remaining (adv)"
"affär (affären, affärer, affärerna)<br><i>Affären stänger klockan sju.</i>","store, shop<br><i>The store closes at seven.</i>"
"djur (djuret, djur, djuren)<br><i>Vilket djur gillar du bäst?</i>","animal<br><i>Which animal do you like best?</i>"
"kyckling (kycklingen, kycklingar, kycklingarna)<br><i>Kyckling är populärt till middag.</i>","chicken<br><i>Chicken is popular for dinner.</i>"
"get (geten, getter, getterna)<br><i>Geten betade i hagen.</i>","goat<br><i>The goat grazed in the field.</i>"
"hoppborg (hoppborgen, hoppborgar, hoppborgarna)<br><i>Barnen hoppade i hoppborgen.</i>","bouncy castle<br><i>The kids jumped in the bouncy castle.</i>"
"i övermorgon<br><i>Vi ses i övermorgon.</i>","the day after tomorrow<br><i>See you the day after tomorrow.</i>"
"gris (grisen, grisar, grisarna)<br><i>En liten gris sprang över vägen.</i>","pig<br><i>A little pig ran across the road.</i>"
"bredvid<br><i>Han satt bredvid mig på bussen.</i>","next to<br><i>He sat next to me on the bus.</i>"
"unna sig (unnar, unnade, unnat)<br><i>Jag unnar mig en god dessert.</i>","treat oneself<br><i>I treat myself to a nice dessert.</i>"
"vanilj<br><i>Jag föredrar vaniljglass.</i>","vanilla<br><i>I prefer vanilla ice-cream.</i>"
"hasselnöt (hasselnöten, hasselnötter, hasselnötterna)<br><i>Chokladen innehåller hasselnötter.</i>","hazelnut<br><i>The chocolate contains hazelnuts.</i>"
