"tandhygienist (tandhygienisten, tandhygienister, tandhygienisterna)<br><i>Jag ska till tandhygienisten på fredag.</i>","dental hygienist<br><i>I’m going to the dental hygienist on Friday.</i>"
"Det stämmer.<br><i>Det stämmer, jag flyttade i somras.</i>","That’s right<br><i>That’s right, I moved this summer.</i>"
"inne<br><i>Barnen leker inne idag.</i>","inside<br><i>The kids are playing inside today.</i>"
"ute<br><i>Vi äter lunch ute på gården.</i>","outside<br><i>We’re eating lunch outside in the yard.</i>"
"uppe<br><i>Lampan hänger uppe i taket.</i>","up (there); above<br><i>The lamp hangs up on the ceiling.</i>"
"nere<br><i>Källaren ligger nere under huset.</i>","down (there); below<br><i>The basement is down under the house.</i>"
"framme<br><i>Biljetten ska ligga framme vid kontroll.</i>","in an easily noticeable spot<br><i>The ticket should be out for inspection.</i>"
"borta<br><i>Min nyckel är borta.</i>","away; gone<br><i>My key is gone.</i>"
"vart<br><i>Vart ska ni resa i sommar?</i>","where to<br><i>Where are you going this summer?</i>"
"dit<br><i>Vi åker dit i morgon.</i>","there (to)<br><i>We’re going there tomorrow.</i>"
"hit<br><i>Kom hit en stund!</i>","here (to)<br><i>Come here for a moment!</i>"
"bort<br><i>De sprang bort från regnet.</i>","away (to)<br><i>They ran away from the rain.</i>"
"härifrån<br><i>Flyget går härifrån klockan nio.</i>","from here<br><i>The flight leaves from here at nine.</i>"
"inifrån<br><i>Det hördes musik inifrån huset.</i>","from inside<br><i>Music could be heard from inside the house.</i>"
"utifrån<br><i>Det ser fint ut utifrån.</i>","from outside<br><i>It looks nice from the outside.</i>"
"uppifrån<br><i>Fågeln kom flygande uppifrån.</i>","from above<br><i>The bird came flying from above.</i>"
"nerifrån<br><i>Det blåser kallt nerifrån sjön.</i>","from below<br><i>A cold wind blows from the lake.</i>"
"framifrån<br><i>Ta ett foto framifrån.</i>","from the front<br><i>Take a photo from the front.</i>"
"bortifrån<br><i>Jag hör röster bortifrån parken.</i>","from over there<br><i>I hear voices from over there in the park.</i>"
"rymdfysiker (rymdfysikern, rymdfysiker, rymdfysikerna)<br><i>Hon jobbar som rymdfysiker i Kiruna.</i>","space physicist<br><i>She works as a space physicist in Kiruna.</i>"
"institut (institutet, institut, instituten)<br><i>Han forskar på ett internationellt institut.</i>","institute<br><i>He does research at an international institute.</i>"
"rymdfysik (rymdfysiken)<br><i>Kursen i rymdfysik var avancerad.</i>","space physics<br><i>The space physics course was advanced.</i>"
"doktorera (doktorerar, doktorerade, doktorerat)<br><i>Hon planerar att doktorera nästa år.</i>","get a PhD<br><i>She plans to pursue a PhD next year.</i>"
"norrsken (norrskenet, norrsken, norrskenen)<br><i>Vi såg norrsken i Abisko.</i>","northern lights; aurora borealis<br><i>We saw the northern lights in Abisko.</i>"
"forskningsprojekt (forskningsprojektet, forskningsprojekt, forskningsprojekten)<br><i>De leder ett stort forskningsprojekt.</i>","research project<br><i>They lead a large research project.</i>"
"skräckroman (skräckromanen, skräckromaner, skräckromanerna)<br><i>Jag läser en svensk skräckroman.</i>","horror novel<br><i>I’m reading a Swedish horror novel.</i>"
"jobba över (jobbar över, jobbade över, jobbat över)<br><i>Vi måste jobba över i kväll.</i>","work overtime<br><i>We have to work overtime tonight.</i>"
"hushållsarbete (hushållsarbetet, hushållsarbeten, hushållsarbetena)<br><i>Vi delade på hushållsarbetet.</i>","household chores<br><i>We split the household chores.</i>"
"skoter (skotern, skotrar, skotrarna)<br><i>De körde skoter på fjället.</i>","snowmobile<br><i>They rode snowmobiles in the mountains.</i>"
"intensiv (intensivt, intensiva)<br><i>Kursen var kort men intensiv.</i>","intense<br><i>The course was short but intense.</i>"
"stressig (stressigt, stressiga)<br><i>Det blev en stressig vecka.</i>","stressful<br><i>It turned into a stressful week.</i>"
"försova sig (försover sig, försov sig, försovit sig)<br><i>Jag försov mig i morse.</i>","oversleep<br><i>I overslept this morning.</i>"
"ostfralla (ostfrallan, ostfrallor, ostfrallorna)<br><i>Jag köpte en ostfralla till frukost.</i>","cheese roll / cheese sandwich<br><i>I bought a cheese roll for breakfast.</i>"
"presentera (presenterar, presenterade, presenterat)<br><i>Hon ska presentera resultaten i dag.</i>","present<br><i>She will present the results today.</i>"
"resultat (resultatet, resultat, resultaten)<br><i>Resultatet blev bättre än väntat.</i>","result<br><i>The result was better than expected.</i>"
"uppsats (uppsatsen, uppsatser, uppsatserna)<br><i>Han skrev en uppsats om klimatet.</i>","essay; thesis<br><i>He wrote an essay about the climate.</i>"
"rymdbas (rymdbasen, rymdbaser, rymdbaserna)<br><i>Filmen utspelar sig på en rymdbas.</i>","space base<br><i>The movie takes place on a space base.</i>"
"amerikan (amerikanen, amerikaner, amerikanerna)<br><i>Hon är amerikan men bor i Sverige.</i>","American<br><i>She’s American but lives in Sweden.</i>"
"skynda sig (skyndar sig, skyndade sig, skyndat sig)<br><i>Skynda dig, bussen går nu!</i>","hurry<br><i>Hurry up, the bus is leaving now!</i>"
"duka (dukar, dukade, dukat)<br><i>Kan du duka till middagen?</i>","set the table<br><i>Can you set the table for dinner?</i>"
"norrländsk (norrländskt, norrländska)<br><i>Jag älskar norrländsk natur.</i>","Northern Swedish; from Norrland<br><i>I love northern Swedish nature.</i>"
"vargtass (vargtassen, vargtassar, vargtassarna)<br><i>Vi beställde en vargtass som välkomstdrink.</i>","‘vargtass’ (vodka + lingonberry)<br><i>We ordered a vargtass as a welcome drink.</i>"
"välkomstdrink (välkomstdrinken, välkomstdrinkar, välkomstdrinkarna)<br><i>Gästerna fick en välkomstdrink.</i>","welcome drink<br><i>The guests got a welcome drink.</i>"
"fjällröding (fjällrödingen, fjällrödingar, fjällrödingarna)<br><i>Vi åt fjällröding med mandelpotatis.</i>","Arctic char<br><i>We ate Arctic char with almond potatoes.</i>"
"mandelpotatis (mandelpotatisen, mandelpotatisar, mandelpotatisarna)<br><i>Mandelpotatis är vanlig i norr.</i>","almond potato<br><i>Almond potatoes are common in the north.</i>"
"hjortronglass (hjortronglassen, hjortronglasser, hjortronglasserna)<br><i>Efterrätten var hjortronglass.</i>","cloudberry ice cream<br><i>The dessert was cloudberry ice cream.</i>"
"lingonsaft (lingonsaften, lingonsafter, lingonsafterna)<br><i>Barnen drack lingonsaft.</i>","lingonberry juice<br><i>The kids drank lingonberry juice.</i>"
"fönster (fönstret, fönster, fönstren)<br><i>Öppna fönstret, det är varmt.</i>","window<br><i>Open the window, it’s warm.</i>"
"magisk (magiskt, magiska)<br><i>Utsikten var helt magisk.</i>","magical<br><i>The view was truly magical.</i>"
"förskollärare (förskolläraren, förskollärare, förskollärarna)<br><i>Min vän är förskollärare.</i>","preschool teacher<br><i>My friend is a preschool teacher.</i>"
"larm (larmet, larm, larmen)<br><i>Larmet ringde klockan sex.</i>","alarm<br><i>The alarm went off at six.</i>"
"golv (golvet, golv, golven)<br><i>Hon satt på golvet och läste.</i>","floor<br><i>She sat on the floor and read.</i>"
"saga (sagan, sagor, sagorna)<br><i>Vi läste en saga före läggdags.</i>","fairy tale<br><i>We read a fairy tale before bedtime.</i>"
"bråka (bråkar, bråkade, bråkat)<br><i>Syskonen bråkade om leksaken.</i>","fight; argue<br><i>The siblings argued about the toy.</i>"
"lekpark (lekparken, lekparker, lekparkerna)<br><i>Vi träffas i lekparken.</i>","playground<br><i>We’ll meet at the playground.</i>"
"sandlåda (sandlådan, sandlådor, sandlådorna)<br><i>Barnen byggde ett slott i sandlådan.</i>","sandbox<br><i>The children built a castle in the sandbox.</i>"
"gunga (gungan, gungor, gungorna)<br><i>Hon satt på en gunga och sjöng.</i>","swing<br><i>She sat on a swing and sang.</i>"
"konferens (konferensen, konferenser, konferenserna)<br><i>Han reste på konferens till Oslo.</i>","conference<br><i>He went to a conference in Oslo.</i>"
"i förrgår<br><i>Vi flyttade i förrgår.</i>","the day before yesterday<br><i>We moved the day before yesterday.</i>"
"aktuell (aktuellt, aktuella)<br><i>Frågan är fortfarande aktuell.</i>","relevant; current<br><i>The issue is still relevant.</i>"
"Chile<br><i>Hon kommer från Chile.</i>","Chile<br><i>She comes from Chile.</i>"
"grammatikprov (grammatikprovet, grammatikprov, grammatikproven)<br><i>Vi har grammatikprov nästa vecka.</i>","grammar test<br><i>We have a grammar test next week.</i>"
"snickare (snickaren, snickare, snickarna)<br><i>Snickaren byggde en altan.</i>","carpenter<br><i>The carpenter built a deck.</i>"
"butikssäljare (butikssäljaren, butikssäljare, butikssäljarna)<br><i>Han jobbar som butikssäljare.</i>","shop assistant<br><i>He works as a shop assistant.</i>"
"läxhjälpare (läxhjälparen, läxhjälpare, läxhjälparna)<br><i>Hon är läxhjälpare i matte.</i>","homework helper; tutor<br><i>She tutors in math.</i>"
"simlärare (simläraren, simlärare, simlärarna)<br><i>Simläraren lär ut crawl.</i>","swimming instructor<br><i>The instructor teaches the front crawl.</i>"
"receptionist (receptionisten, receptionister, receptionisterna)<br><i>Jag pratade med receptionisten.</i>","receptionist<br><i>I spoke with the receptionist.</i>"
"grafisk formgivare (grafiska formgivaren, grafiska formgivare, grafiska formgivarna)<br><i>Hon är grafisk formgivare på en byrå.</i>","graphic designer<br><i>She’s a graphic designer at an agency.</i>"
"bilmekaniker (bilmekanikern, bilmekaniker, bilmekanikerna)<br><i>Bilmekanikern bytte bromsarna.</i>","car mechanic<br><i>The mechanic changed the brakes.</i>"
"bartender (bartendern, bartendrar, bartendrarna)<br><i>Bartendern blandade en drink.</i>","bartender<br><i>The bartender mixed a drink.</i>"
"händig (händigt, händiga)<br><i>Hon är händig och fixar hemma.</i>","dexterous; handy<br><i>She’s handy and does home repairs.</i>"
"noggrann (noggrant, noggranna)<br><i>Han är noggrann med detaljer.</i>","careful; meticulous<br><i>He is meticulous about details.</i>"
"pedagogisk (pedagogiskt, pedagogiska)<br><i>Hon har ett pedagogiskt sätt att förklara.</i>","pedagogical<br><i>She explains things pedagogically.</i>"
"kreativ (kreativt, kreativa)<br><i>Teamet är väldigt kreativt.</i>","creative<br><i>The team is very creative.</i>"
"social (socialt, sociala)<br><i>Han är social och gillar event.</i>","social<br><i>He is social and likes events.</i>"
"serviceinriktad (serviceinriktat, serviceinriktade)<br><i>Vi söker en serviceinriktad kollega.</i>","service-minded<br><i>We’re looking for a service-minded colleague.</i>"
"bra med barn<br><i>Hon är bra med barn.</i>","good with children<br><i>She is good with children.</i>"
"teknisk (tekniskt, tekniska)<br><i>Det här är ett tekniskt problem.</i>","technical<br><i>This is a technical problem.</i>"
"omtänksam (omtänksamt, omtänksamma)<br><i>Han är omtänksam mot sina vänner.</i>","caring; considerate<br><i>He is caring towards his friends.</i>"
"konsthistoria (konsthistorien)<br><i>Hon läser konsthistoria på KTH.</i>","art history<br><i>She studies art history at KTH.</i>"
"maskiningenjör (maskiningenjören, maskiningenjörer, maskiningenjörerna)<br><i>Han jobbar som maskiningenjör.</i>","mechanical engineer<br><i>He works as a mechanical engineer.</i>"
"KTH = Kungliga Tekniska högskolan<br><i>Hon började på KTH 2022.</i>","Royal Institute of Technology<br><i>She started at KTH in 2022.</i>"
"extrajobb (extrajobbet, extrajobb, extrajobben)<br><i>Jag har ett extrajobb på helgerna.</i>","part-time job; side job<br><i>I have a part-time job on weekends.</i>"
"idrottslärare (idrottsläraren, idrottslärare, idrottslärarna)<br><i>Idrottsläraren höll i lektionen.</i>","PE teacher<br><i>The PE teacher led the class.</i>"
"högstadiet (högstadiet)<br><i>Hon praktiserar på högstadiet.</i>","lower secondary school (grades 7–9)<br><i>She’s doing a practicum at lower secondary school.</i>"
"miljövetenskap (miljövetenskapen)<br><i>Jag pluggar miljövetenskap.</i>","environmental science<br><i>I study environmental science.</i>"
"sabbatsår (sabbatsåret, sabbatsår, sabbatsåren)<br><i>Han tog ett sabbatsår efter gymnasiet.</i>","gap year<br><i>He took a gap year after upper secondary school.</i>"
"pyssla (pysslar, pysslade, pysslat)<br><i>Vi pysslar på söndagar.</i>","do crafts; tinker<br><i>We do crafts on Sundays.</i>"
"dammsuga (dammsuger, dammsög, dammsugit)<br><i>Jag dammsuger vardagsrummet.</i>","vacuum clean<br><i>I vacuum the living room.</i>"
"saffransrisotto (saffransrisotton)<br><i>Vi lagade saffransrisotto till middag.</i>","saffron risotto<br><i>We cooked saffron risotto for dinner.</i>"
"arbetsdag (arbetsdagen, arbetsdagar, arbetsdagarna)<br><i>Min arbetsdag börjar klockan åtta.</i>","workday<br><i>My workday starts at eight.</i>"
"arbetsuppgift (arbetsuppgiften, arbetsuppgifter, arbetsuppgifterna)<br><i>Jag fick nya arbetsuppgifter.</i>","task; duty<br><i>I got new tasks.</i>"
"diska (diskar, diskade, diskat)<br><i>Kan du diska efter middagen?</i>","wash the dishes<br><i>Can you do the dishes after dinner?</i>"
"vattengympa (vattengympan)<br><i>Hon går på vattengympa varje tisdag.</i>","water aerobics<br><i>She does water aerobics every Tuesday.</i>"
"hotellfrukost (hotellfrukosten, hotellfrukostar, hotellfrukostarna)<br><i>Vi njöt av en stor hotellfrukost.</i>","hotel breakfast<br><i>We enjoyed a big hotel breakfast.</i>"
"vara ledig<br>(är, var, varit)<br><i>Jag är ledig på fredag.</i>","be off work; have free time<br><i>I’m off on Friday.</i>"
"organisation (organisationen, organisationer, organisationerna)<br><i>Organisationen växer snabbt.</i>","organization<br><i>The organization is growing fast.</i>"
"personal (personalen)<br><i>Personalen var hjälpsam.</i>","staff<br><i>The staff was helpful.</i>"
"spontanansökan (spontanansökan, spontanansökningar, spontanansökningarna)<br><i>Skicka gärna en spontanansökan.</i>","unsolicited application<br><i>Feel free to send an unsolicited application.</i>"
"UX-designer (UX-designern, UX-designer, UX-designerna)<br><i>Vi söker en erfaren UX-designer.</i>","UX designer<br><i>We’re hiring an experienced UX designer.</i>"
"bransch (branschen, branscher, branscherna)<br><i>Han jobbar i IT-branschen.</i>","industry<br><i>He works in the IT industry.</i>"
"byrå (byrån, byråer, byråerna)<br><i>Hon blev anställd på en kreativ byrå.</i>","agency<br><i>She got hired at a creative agency.</i>"
"kund (kunden, kunder, kunderna)<br><i>Vi har möte med en ny kund.</i>","customer; client<br><i>We have a meeting with a new client.</i>"
"undra (undrar, undrade, undrat)<br><i>Jag undrar hur det gick.</i>","wonder<br><i>I wonder how it went.</i>"
"medarbetare (medarbetaren, medarbetare, medarbetarna)<br><i>Företaget har 50 medarbetare.</i>","employee; co-worker<br><i>The company has 50 employees.</i>"
"projekt (projektet, projekt, projekten)<br><i>Projektet slutar i december.</i>","project<br><i>The project ends in December.</i>"
"vänliga hälsningar<br><i>Vänliga hälsningar, Linnea.</i>","best regards<br><i>Best regards, Linnea.</i>"
